id,sales_note,label
1623,"Warehousebackorder increasing, please resupply.",Stocking Issue
1624,backorders increasing need quick replenishment,Stocking Issue
1625,Stockout reported for Model X1.,Stocking Issue
1626,Wants special coating on the exterior.,Custom Spec
1627,Specification change: needs reinforced packaging.,Custom Spec
1628,Repeat purchase request for Model 500Y,Repeat Order
1629,Placing a repeat request for item series 100X. ASAP,Repeat Order
1630,demounits requested to evaluate updated models,New Product Demand
1631,"Delivery needed immediately, client facing outage.",Urgent Need
1632,warehouse almost out of stock for Model Y23,Stocking Issue
1633,Repeatpurchase request for Model 500Y,Repeat Order
1634,warehousealmost out of stock for Model Y23,Stocking Issue
1635,"running low on supplies again, please arrange dispatch",Stocking Issue
1636,Request for non-standard dimension for container.,Custom Spec
1637,"Requesting rush shipping, shortage reported.",Urgent Need
1638,They are requesting a repeat of the previous order.,Repeat Order
1639,"Warehouse backorder increasing, please resupply.",Stocking Issue
1640,demo units requested to evaluate updated models,New Product Demand
1641,Customized dimension required for part 780Y.,Custom Spec
1642,"running low on supplies again, please arrange dispatch",Stocking Issue
1643,Client exploring samples of 2024 line.,New Product Demand
1644,"Backorders causing delays, need resupply ASAP.",Stocking Issue
1645,backorders increasing need quick replenishment,Stocking Issue
1646,critical shortage reported need shipment by next week,Urgent Need
1647,Need 300 more of the units ordered last month.,Repeat Order
1648,Clientwants another batch of 1000 units like last time.,Repeat Order
1649,Stockout reported for Model X1.,Stocking Issue
1650,critical shortage reported need shipment by next week,Urgent Need
1651,Needurgent delivery due to market launch next week.,Urgent Need
1652,Customized dimension required for part 780Y.,Custom Spec
1653,Specification change: needs reinforced packaging.,Custom Spec
1654,Stockoutreported for Model X1.,Stocking Issue
1655,Repeat purchase request for Model 500Y,Repeat Order
1656,Request for non-standard dimension for container.,Custom Spec
1657,Request to modify packaging dimensions before shipment ASAP,Custom Spec
1658,trial samples needed for our new eco friendly line,New Product Demand
1659,Repeat purchase request for Model 500Y,Repeat Order
1660,Theyare requesting a repeat of the previous order.,Repeat Order
1661,Requestto modify packaging dimensions before shipment,Custom Spec
1662,Repeat purchase request for Model 500Y,Repeat Order
1663,Request for non-standard dimension for container.,Custom Spec
1664,"running low on supplies again, please arrange dispatch",Stocking Issue
1665,Trialorder to test new technology batch.,New Product Demand
1666,"Out of stock reported, needs restocking.",Stocking Issue
1667,Rush request for product A45 due to customer escalation,Urgent Need
1668,Need emergency stock replenishment by Friday.,Urgent Need
1669,Requestfor custom color matching on containers.,Custom Spec
1670,warehousealmost out of stock for Model Y23,Stocking Issue
1671,demo units requested to evaluate updated models,New Product Demand
1672,"Requesting rush shipping, shortage reported.",Urgent Need
1673,Exploring samples for a new product line.,New Product Demand
1674,inventory outage pls expedite shipping if possible,Urgent Need
1675,Critical shortage reported need shipment by next week,Urgent Need
1676,Specification change: needs reinforced packaging.,Custom Spec
1677,"Running low on supplies again, please arrange dispatch",Stocking Issue
1678,"Anotherbatch required urgently, same spec as previous",Repeat Order
1679,client needs same order as last month for product 450X,Repeat Order
1680,trial samples needed for our new eco friendly line,New Product Demand
1681,Customizeddimension required for part 780Y.,Custom Spec
1682,Rush request for product A45 due to customer escalation,Urgent Need
1683,"running low on supplies again, please arrange dispatch",Stocking Issue
1684,custom size requested for container 560Z special handling needed,Custom Spec
1685,trial samples needed for our new eco friendly line,New Product Demand
1686,Need emergency stock replenishment by Friday.,Urgent Need
1687,First order placed for updated product variant.,New Product Demand
1688,Clientwants another batch of 1000 units like last time.,Repeat Order
1689,demo units requested to evaluate updated models ASAP,New Product Demand
1690,They are requesting a repeat of the previous order.,Repeat Order
1691,interest shown in 2025X prototype by client,New Product Demand
1692,Wantsspecial coating on the exterior.,Custom Spec
1693,Exploringsamples for a new product line.,New Product Demand
1694,Placinga repeat request for item series 100X.,Repeat Order
1695,client needs same order as last month for product 450X,Repeat Order
1696,demounits requested to evaluate updated models,New Product Demand
1697,Stockout reported for Model X1.,Stocking Issue
1698,Client wants another batch of 1000 units like last time.,Repeat Order
1699,inventory outage pls expedite shipping if possible,Urgent Need
1700,"Out of stock reported, needs restocking.",Stocking Issue
1701,"Delivery needed immediately, client facing outage.",Urgent Need
1702,Trial order to test new technology batch.,New Product Demand
1703,critical shortage reported need shipment by next week,Urgent Need
1704,Placinga repeat request for item series 100X.,Repeat Order
1705,inventoryoutage pls expedite shipping if possible,Urgent Need
1706,Need urgent delivery due to market launch next week.,Urgent Need
1707,"Warehouse backorder increasing, please resupply.",Stocking Issue
1708,Needurgent delivery due to market launch next week.,Urgent Need
1709,Repeat purchase request for Model 500Y ASAP,Repeat Order
1710,Trial order to test new technology batch.,New Product Demand
1711,inventoryoutage pls expedite shipping if possible,Urgent Need
1712,"Another batch required urgently, same spec as previous",Repeat Order
1713,"Warehouse backorder increasing, please resupply.",Stocking Issue
1714,Exploring samples for a new product line.,New Product Demand
1715,Stockout reported for Model X1.,Stocking Issue
1716,Asked for customized sizing of the packaging.,Custom Spec
1717,"running low on supplies again, please arrange dispatch",Stocking Issue
1718,Placing a repeat request for item series 100X.,Repeat Order
1719,Repeat purchase request for Model 500Y,Repeat Order
1720,interest shown in 2025X prototype by client,New Product Demand
1721,Repeatpurchase request for Model 500Y,Repeat Order
1722,Rushrequest for product A45 due to customer escalation,Urgent Need
1723,Trial order to test new technology batch.,New Product Demand
1724,trial samples needed for our new eco friendly line,New Product Demand
1725,Customized dimension required for part 780Y.,Custom Spec
1726,Need emergency stock replenishment by Friday.,Urgent Need
1727,warehousealmost out of stock for Model Y23,Stocking Issue
1728,Need urgent delivery due to market launch next week.,Urgent Need
1729,demounits requested to evaluate updated models,New Product Demand
1730,Rushrequest for product A45 due to customer escalation,Urgent Need
1731,client needs same order as last month for product 450X,Repeat Order
1732,"Backorders causing delays, need resupply ASAP.",Stocking Issue
1733,Repeat purchase request for Model 500Y,Repeat Order
1734,Demo units requested to evaluate updated models,New Product Demand
1735,Request for non-standard dimension for container.,Custom Spec
1736,Trial order to test new technology batch.,New Product Demand
1737,First order placed for updated product variant.,New Product Demand
1738,backorders increasing need quick replenishment,Stocking Issue
1739,"Another batch required urgently, same spec as previous ASAP",Repeat Order
1740,Client wants another batch of 1000 units like last time.,Repeat Order
1741,Clientexploring samples of 2024 line.,New Product Demand
1742,needs reinforced handles on boxes for safety reason,Custom Spec
1743,"Requesting rush shipping, shortage reported.",Urgent Need
1744,First order placed for updated product variant.,New Product Demand
1745,Request for custom color matching on containers.,Custom Spec
1746,clientneeds same order as last month for product 450X,Repeat Order
1747,Exploring samples for a new product line.,New Product Demand
1748,"Out of stock reported, needs restocking.",Stocking Issue
1749,"Backorders causing delays, need resupply ASAP.",Stocking Issue
1750,"Another batch required urgently, same spec as previous",Repeat Order
1751,Request for non-standard dimension for container.,Custom Spec
1752,Need300 more of the units ordered last month.,Repeat Order
1753,customsize requested for container 560Z special handling needed ASAP,Custom Spec
1754,"Out of stock reported, needs restocking.",Stocking Issue
1755,Wantsspecial coating on the exterior.,Custom Spec
1756,Need urgent delivery due to market launch next week.,Urgent Need
1757,Request for custom color matching on containers.,Custom Spec
1758,Rushrequest for product A45 due to customer escalation,Urgent Need
1759,"Out of stock reported, needs restocking.",Stocking Issue
1760,"Anotherbatch required urgently, same spec as previous",Repeat Order
1761,Need urgent delivery due to market launch next week.,Urgent Need
1762,clientneeds same order as last month for product 450X,Repeat Order
1763,Need emergency stock replenishment by Friday.,Urgent Need
1764,Stockout reported for Model X1.,Stocking Issue
1765,backorders increasing need quick replenishment,Stocking Issue
1766,Client exploring samples of 2024 line.,New Product Demand
1767,Trial samples needed for our new eco friendly line,New Product Demand
1768,They are requesting a repeat of the previous order.,Repeat Order
1769,Stockout reported for Model X1.,Stocking Issue
1770,trial samples needed for our new eco friendly line,New Product Demand
1771,custom size requested for container 560Z special handling needed,Custom Spec
1772,Customized dimension required for part 780Y.,Custom Spec
1773,trial samples needed for our new eco friendly line,New Product Demand
1774,trial samples needed for our new eco friendly line,New Product Demand
1775,Customized dimension required for part 780Y.,Custom Spec
1776,Requestfor custom color matching on containers.,Custom Spec
1777,First order placed for updated product variant.,New Product Demand
1778,Stockout reported for Model X1.,Stocking Issue
1779,demounits requested to evaluate updated models,New Product Demand
1780,Placinga repeat request for item series 100x.,Repeat Order
1781,"Inventoryrunning low, client requests immediate resupply.",Stocking Issue
1782,demo units requested to evaluate updated models,New Product Demand
1783,backorders increasing need quick replenishment,Stocking Issue
1784,needs reinforced handles on boxes for safety reason,Custom Spec
1785,warehouse almost out of stock for Model Y23,Stocking Issue
1786,Wantsspecial coating on the exterior.,Custom Spec
1787,Exploring samples for a new product line.,New Product Demand
1788,Client needs same order as last month for product 450x,Repeat Order
1789,Trial order to test new technology batch.,New Product Demand
1790,Placing a repeat request for item series 100X.,Repeat Order
1791,"Backorders causing delays, need resupply ASAP.",Stocking Issue
1792,They are requesting a repeat of the previous order.,Repeat Order
1793,Customized dimension required for part 780Y.,Custom Spec
1794,"Delivery needed immediately, client facing outage.",Urgent Need
1795,"Requesting rush shipping, shortage reported.",Urgent Need
1796,Request for non-standard dimension for container. ASAP,Custom Spec
1797,"Out of stock reported, needs restocking.",Stocking Issue
1798,"Warehouse backorder increasing, please resupply.",Stocking Issue
1799,inventory outage pls expedite shipping if possible,Urgent Need
1800,needs reinforced handles on boxes for safety reason,Custom Spec
1801,Client exploring samples of 2024 line.,New Product Demand
1802,Theyare requesting a repeat of the previous order.,Repeat Order
1803,Customized dimension required for part 780Y.,Custom Spec
1804,"Out of stock reported, needs restocking.",Stocking Issue
1805,Wants special coating on the exterior. ASAP,Custom Spec
1806,Rush request for product A45 due to customer escalation,Urgent Need
1807,Theyare requesting a repeat of the previous order.,Repeat Order
1808,inventory outage pls expedite shipping if possible,Urgent Need
1809,"Delivery needed immediately, client facing outage.",Urgent Need
1810,Clientexploring samples of 2024 line.,New Product Demand
1811,Customizeddimension required for part 780Y.,Custom Spec
1812,"Delivery needed immediately, client facing outage.",Urgent Need
1813,Request for non-standard dimension for container.,Custom Spec
1814,"Inventory running low, client requests immediate resupply.",Stocking Issue
1815,critical shortage reported need shipment by next week,Urgent Need
1816,Client wants another batch of 1000 units like last time.,Repeat Order
1817,"Warehouse backorder increasing, please resupply.",Stocking Issue
1818,Need 300 more of the units ordered last month.,Repeat Order
1819,client needs same order as last month for product 450X,Repeat Order
1820,critical shortage reported need shipment by next week,Urgent Need
1821,warehouse almost out of stock for Model Y23,Stocking Issue
1822,Placing a repeat request for item series 100x.,Repeat Order
1823,Stockout reported for Model X1.,Stocking Issue
1824,Repeatpurchase request for Model 500Y,Repeat Order
1825,trial samples needed for our new eco friendly line ASAP,New Product Demand
1826,client needs same order as last month for product 450X,Repeat Order
1827,Repeat purchase request for Model 500Y,Repeat Order
1828,"Another batch required urgently, same spec as previous ASAP",Repeat Order
1829,needs reinforced handles on boxes for safety reason,Custom Spec
1830,They are requesting a repeat of the previous order.,Repeat Order
1831,Need 300 more of the units ordered last month.,Repeat Order
1832,Request for non-standard dimension for container.,Custom Spec
1833,Asked for customized sizing of the packaging.,Custom Spec
1834,Asked for customized sizing of the packaging.,Custom Spec
1835,trial samples needed for our new eco friendly line,New Product Demand
1836,warehouse almost out of stock for Model Y23,Stocking Issue
1837,Stockout reported for Model X1.,Stocking Issue
1838,Placing a repeat request for item series 100X.,Repeat Order
1839,First order placed for updated product variant.,New Product Demand
1840,"Deliveryneeded immediately, client facing outage.",Urgent Need
1841,needs reinforced handles on boxes for safety reason,Custom Spec
1842,Placing a repeat request for item series 100X.,Repeat Order
1843,Specification change: needs reinforced packaging.,Custom Spec
1844,Wants special coating on the exterior.,Custom Spec
1845,inventory outage pls expedite shipping if possible,Urgent Need
1846,critical shortage reported need shipment by next week,Urgent Need
1847,Asked for customized sizing of the packaging.,Custom Spec
1848,Repeat purchase request for Model 500Y,Repeat Order
1849,Repeat purchase request for Model 500Y,Repeat Order
1850,Request to modify packaging dimensions before shipment,Custom Spec
1851,interest shown in 2025X prototype by client,New Product Demand
1852,Trial order to test new technology batch.,New Product Demand
1853,warehouse almost out of stock for Model Y23,Stocking Issue
1854,Exploring samples for a new product line.,New Product Demand
1855,Repeat purchase request for Model 500Y,Repeat Order
1856,Exploringsamples for a new product line.,New Product Demand
1857,trial samples needed for our new eco friendly line,New Product Demand
1858,backorders increasing need quick replenishment,Stocking Issue
1859,Wantsspecial coating on the exterior.,Custom Spec
1860,Trial order to test new technology batch.,New Product Demand
1861,Placing a repeat request for item series 100X.,Repeat Order
1862,criticalshortage reported need shipment by next week,Urgent Need
1863,"Warehouse backorder increasing, please resupply.",Stocking Issue
1864,client needs same order as last month for product 450X,Repeat Order
1865,needs reinforced handles on boxes for safety reason,Custom Spec
1866,Theyare requesting a repeat of the previous order.,Repeat Order
1867,They are requesting a repeat of the previous order.,Repeat Order
1868,Rush request for product A45 due to customer escalation,Urgent Need
1869,Repeat purchase request for Model 500Y,Repeat Order
1870,Stockout reported for Model X1.,Stocking Issue
1871,"Requesting rush shipping, shortage reported.",Urgent Need
1872,Rush request for product A45 due to customer escalation ASAP,Urgent Need
1873,Exploring samples for a new product line.,New Product Demand
1874,Askedfor customized sizing of the packaging.,Custom Spec
1875,Trial order to test new technology batch.,New Product Demand
1876,They are requesting a repeat of the previous order.,Repeat Order
1877,Client exploring samples of 2024 line.,New Product Demand
1878,critical shortage reported need shipment by next week ASAP,Urgent Need
1879,Wants special coating on the exterior.,Custom Spec
1880,"running low on supplies again, please arrange dispatch",Stocking Issue
1881,"Delivery needed immediately, client facing outage. ASAP",Urgent Need
1882,Theyare requesting a repeat of the previous order.,Repeat Order
1883,Customized dimension required for part 780Y.,Custom Spec
1884,inventory outage pls expedite shipping if possible,Urgent Need
1885,Repeat purchase request for Model 500Y,Repeat Order
1886,First order placed for updated product variant.,New Product Demand
1887,"Delivery needed immediately, client facing outage.",Urgent Need
1888,Specification change: needs reinforced packaging.,Custom Spec
1889,Firstorder placed for updated product variant.,New Product Demand
1890,Client wants another batch of 1000 units like last time.,Repeat Order
1891,inventoryoutage pls expedite shipping if possible,Urgent Need
1892,"Backorders causing delays, need resupply ASAP.",Stocking Issue
1893,Placing a repeat request for item series 100X.,Repeat Order
1894,critical shortage reported need shipment by next week,Urgent Need
1895,warehouse almost out of stock for Model Y23,Stocking Issue
1896,"Another batch required urgently, same spec as previous",Repeat Order
1897,needsreinforced handles on boxes for safety reason,Custom Spec
1898,"Another batch required urgently, same spec as previous",Repeat Order
1899,Request for custom color matching on containers.,Custom Spec
1900,Rush request for product a45 due to customer escalation ASAP,Urgent Need
1901,Stockout reported for Model X1.,Stocking Issue
1902,Need 300 more of the units ordered last month.,Repeat Order
1903,Need 300 more of the units ordered last month.,Repeat Order
1904,Customizeddimension required for part 780Y.,Custom Spec
1905,Repeat purchase request for Model 500Y,Repeat Order
1906,They are requesting a repeat of the previous order.,Repeat Order
1907,demo units requested to evaluate updated models,New Product Demand
1908,"Inventory running low, client requests immediate resupply.",Stocking Issue
1909,client needs same order as last month for product 450X,Repeat Order
1910,Client exploring samples of 2024 line.,New Product Demand
1911,Exploring samples for a new product line.,New Product Demand
1912,demo units requested to evaluate updated models,New Product Demand
1913,Requestfor non-standard dimension for container.,Custom Spec
1914,custom size requested for container 560Z special handling needed,Custom Spec
1915,Client exploring samples of 2024 line.,New Product Demand
1916,"Backorderscausing delays, need resupply asap.",Stocking Issue
1917,"running low on supplies again, please arrange dispatch",Stocking Issue
1918,Stockoutreported for Model X1.,Stocking Issue
1919,Request for custom color matching on containers.,Custom Spec
1920,trial samples needed for our new eco friendly line,New Product Demand
1921,Rushrequest for product A45 due to customer escalation,Urgent Need
1922,needs reinforced handles on boxes for safety reason,Custom Spec
1923,First order placed for updated product variant.,New Product Demand
1924,Needs reinforced handles on boxes for safety reason,Custom Spec
1925,client needs same order as last month for product 450X,Repeat Order
1926,"Inventory running low, client requests immediate resupply.",Stocking Issue
1927,trial samples needed for our new eco friendly line ASAP,New Product Demand
1928,Request to modify packaging dimensions before shipment,Custom Spec
1929,inventory outage pls expedite shipping if possible,Urgent Need
1930,Placing a repeat request for item series 100X.,Repeat Order
1931,Stockout reported for Model X1.,Stocking Issue
1932,Wantsspecial coating on the exterior.,Custom Spec
1933,needsreinforced handles on boxes for safety reason ASAP,Custom Spec
1934,Client wants another batch of 1000 units like last time.,Repeat Order
1935,"Out of stock reported, needs restocking.",Stocking Issue
1936,backorders increasing need quick replenishment,Stocking Issue
1937,Clientwants another batch of 1000 units like last time.,Repeat Order
1938,"Backorderscausing delays, need resupply ASAP.",Stocking Issue
1939,Request for non-standard dimension for container.,Custom Spec
1940,Customized dimension required for part 780Y.,Custom Spec
1941,Placing a repeat request for item series 100X.,Repeat Order
1942,"Another batch required urgently, same spec as previous",Repeat Order
1943,needs reinforced handles on boxes for safety reason,Custom Spec
1944,trial samples needed for our new eco friendly line,New Product Demand
1945,Need urgent delivery due to market launch next week.,Urgent Need
1946,backorders increasing need quick replenishment,Stocking Issue
1947,Rush request for product A45 due to customer escalation,Urgent Need
1948,Stockout reported for Model X1.,Stocking Issue
1949,Need 300 more of the units ordered last month.,Repeat Order
1950,Placinga repeat request for item series 100X.,Repeat Order
1951,trial samples needed for our new eco friendly line,New Product Demand
1952,"running low on supplies again, please arrange dispatch ASAP",Stocking Issue
1953,Specification change: needs reinforced packaging.,Custom Spec
1954,Trialorder to test new technology batch.,New Product Demand
1955,Trial order to test new technology batch.,New Product Demand
1956,Wants special coating on the exterior.,Custom Spec
1957,"Delivery needed immediately, client facing outage. ASAP",Urgent Need
1958,Need urgent delivery due to market launch next week.,Urgent Need
1959,interest shown in 2025X prototype by client,New Product Demand
1960,Customized dimension required for part 780Y.,Custom Spec
1961,Repeatpurchase request for Model 500Y,Repeat Order
1962,"Out of stock reported, needs restocking.",Stocking Issue
1963,client needs same order as last month for product 450X,Repeat Order
1964,inventory outage pls expedite shipping if possible,Urgent Need
1965,Needemergency stock replenishment by Friday.,Urgent Need
1966,Client exploring samples of 2024 line.,New Product Demand
1967,"Backorders causing delays, need resupply ASAP.",Stocking Issue
1968,Wants special coating on the exterior. ASAP,Custom Spec
1969,demo units requested to evaluate updated models,New Product Demand
1970,custom size requested for container 560Z special handling needed,Custom Spec
1971,demounits requested to evaluate updated models,New Product Demand
1972,Need emergency stock replenishment by Friday.,Urgent Need
1973,backorders increasing need quick replenishment,Stocking Issue
1974,Specification change: needs reinforced packaging.,Custom Spec
1975,inventory outage pls expedite shipping if possible,Urgent Need
1976,Client wants another batch of 1000 units like last time.,Repeat Order
1977,warehousealmost out of stock for Model Y23,Stocking Issue
1978,warehouse almost out of stock for Model Y23,Stocking Issue
1979,Client exploring samples of 2024 line.,New Product Demand
1980,Exploring samples for a new product line.,New Product Demand
1981,customsize requested for container 560Z special handling needed,Custom Spec
1982,interest shown in 2025X prototype by client,New Product Demand
1983,"Inventoryrunning low, client requests immediate resupply.",Stocking Issue
1984,Exploring samples for a new product line.,New Product Demand
1985,"Requesting rush shipping, shortage reported.",Urgent Need
1986,Trial order to test new technology batch.,New Product Demand
1987,demo units requested to evaluate updated models,New Product Demand
1988,Asked for customized sizing of the packaging.,Custom Spec
1989,Asked for customized sizing of the packaging.,Custom Spec
1990,"Out of stock reported, needs restocking.",Stocking Issue
1991,Client wants another batch of 1000 units like last time.,Repeat Order
1992,"Another batch required urgently, same spec as previous",Repeat Order
1993,"Delivery needed immediately, client facing outage.",Urgent Need
1994,Wants special coating on the exterior.,Custom Spec
1995,warehouse almost out of stock for Model Y23,Stocking Issue
1996,demo units requested to evaluate updated models,New Product Demand
1997,Repeat purchase request for Model 500Y,Repeat Order
1998,Trial order to test new technology batch.,New Product Demand
1999,"Outof stock reported, needs restocking.",Stocking Issue
2000,Need 300 more of the units ordered last month.,Repeat Order
